datetime,fecha,tramo,DOMICILIO,LLEVAR,LOCAL,RECOGER
2024-01-06 19:45:00,2024-01-06,19:45 - 19:59,3,1,0,0
2024-01-06 20:00:00,2024-01-06,20:00 - 20:14,3,0,0,1
2024-01-06 20:15:00,2024-01-06,20:15 - 20:29,2,0,0,1
2024-01-06 20:30:00,2024-01-06,20:30 - 20:44,2,0,0,6
2024-01-06 20:45:00,2024-01-06,20:45 - 20:59,6,1,0,1
2024-01-06 21:00:00,2024-01-06,21:00 - 21:14,6,0,1,3
2024-01-06 21:15:00,2024-01-06,21:15 - 21:29,8,1,0,3
2024-01-06 21:30:00,2024-01-06,21:30 - 21:44,6,1,1,0
2024-01-06 21:45:00,2024-01-06,21:45 - 21:59,5,1,0,2
2024-01-06 22:00:00,2024-01-06,22:00 - 22:14,3,0,0,2
2024-01-06 22:15:00,2024-01-06,22:15 - 22:29,6,2,0,0
2024-01-06 22:30:00,2024-01-06,22:30 - 22:44,1,1,0,0
2024-01-06 22:45:00,2024-01-06,22:45 - 22:59,0,1,0,2
2024-01-06 23:00:00,2024-01-06,23:00 - 23:14,0,0,0,0
2024-01-06 23:15:00,2024-01-06,23:15 - 23:29,0,1,0,0
2024-01-07 13:00:00,2024-01-07,13:00 - 13:14,0,0,0,1
2024-01-07 13:15:00,2024-01-07,13:15 - 13:29,2,1,0,0
2024-01-07 13:30:00,2024-01-07,13:30 - 13:44,0,1,0,1
2024-01-07 13:45:00,2024-01-07,13:45 - 13:59,0,0,0,0
2024-01-07 14:00:00,2024-01-07,14:00 - 14:14,3,1,0,2
2024-01-07 14:15:00,2024-01-07,14:15 - 14:29,2,0,0,0
2024-01-07 14:30:00,2024-01-07,14:30 - 14:44,1,1,0,0
2024-01-07 14:45:00,2024-01-07,14:45 - 14:59,1,0,0,1
2024-01-07 15:00:00,2024-01-07,15:00 - 15:14,0,0,1,0
2024-01-07 15:15:00,2024-01-07,15:15 - 15:29,1,0,0,0
2024-01-07 15:30:00,2024-01-07,15:30 - 15:44,1,1,0,0
2024-01-07 15:45:00,2024-01-07,15:45 - 15:59,0,0,0,0
2024-01-07 17:45:00,2024-01-07,17:45 - 17:59,0,0,0,0
2024-01-07 18:45:00,2024-01-07,18:45 - 18:59,0,0,0,0
2024-01-07 19:00:00,2024-01-07,19:00 - 19:14,1,0,0,0
2024-01-07 19:15:00,2024-01-07,19:15 - 19:29,1,0,0,0
